q5,q6,q7,q8,aspect,musiclevel
2,3,5,2,m,amateur
3,4,2,2,m,amateur
2,3,3,3,m,amateur
1,2,2,3,m,amateur
3,4,4,2,m,amateur
2,4,3,3,m,amateur
4,4,5,4,m,amateur
2,3,5,3,m,amateur
1,1,1,1,m,amateur
1,2,3,3,m,amateur
4,4,4,3,m,newhand
3,3,3,3,m,newhand
2,3,2,3,m,newhand
1,2,2,2,m,newhand
3,4,3,3,m,newhand
2,3,4,4,m,newhand
3,5,3,3,m,newhand
1,3,3,2,m,newhand
4,5,3,4,m,newhand
3,5,5,5,m,newhand
4,4,4,4,r,amateur
4,5,5,4,r,amateur
2,4,3,4,r,amateur
3,4,2,4,r,amateur
5,5,3,4,r,amateur
2,3,3,3,r,amateur
4,5,4,5,r,amateur
4,4,5,5,r,amateur
1,1,5,5,r,amateur
4,4,4,4,r,amateur
5,5,4,3,r,newhand
5,4,4,5,r,newhand
4,5,4,4,r,newhand
3,1,1,2,r,newhand
2,4,3,3,r,newhand
3,4,4,4,r,newhand
3,4,4,4,r,newhand
3,3,4,2,r,newhand
4,5,3,5,r,newhand
5,5,5,5,r,newhand
2,3,4,2,c,amateur
2,4,2,2,c,amateur
2,2,2,2,c,amateur
2,3,3,4,c,amateur
3,2,2,2,c,amateur
3,3,3,1,c,amateur
3,4,3,4,c,amateur
2,3,5,4,c,amateur
1,1,1,1,c,amateur
2,4,4,3,c,amateur
3,4,4,3,c,newhand
3,3,3,3,c,newhand
2,2,1,2,c,newhand
2,2,1,2,c,newhand
2,3,2,2,c,newhand
2,3,4,3,c,newhand
2,5,4,3,c,newhand
3,2,2,3,c,newhand
5,5,4,4,c,newhand
3,4,4,4,c,newhand
3,4,3,3,i,amateur
5,3,2,4,i,amateur
3,3,3,3,i,amateur
4,4,2,4,i,amateur
2,4,4,2,i,amateur
1,3,2,1,i,amateur
5,5,4,4,i,amateur
3,4,5,4,i,amateur
5,5,5,5,i,amateur
4,3,3,3,i,amateur
4,4,3,3,i,newhand
4,3,4,4,i,newhand
2,2,3,3,i,newhand
1,1,1,1,i,newhand
1,2,2,2,i,newhand
4,4,4,4,i,newhand
3,4,3,3,i,newhand
4,4,3,3,i,newhand
3,4,2,4,i,newhand
4,4,4,4,i,newhand
